experiment,sigma,k,inventory_penalty,predicted_mean_optimal_spread,sharpe_optimal_spread,sharpe,mean_pnl,std_pnl,mean_optimal_spread,mean_optimal_tied_lo,mean_optimal_tied_hi
inventory_penalty,0.05,20.0,0.0005,0.2,0.2,1.97847,20.72583,10.4757,0.2,0.18,0.2
inventory_penalty,0.05,20.0,0.001,0.2,0.2,2.61988,20.7633,7.92527,0.2,0.18,0.2
inventory_penalty,0.05,20.0,0.002,0.2,0.2,3.53458,20.74001,5.86774,0.18,0.18,0.2
inventory_penalty,0.05,20.0,0.005,0.2,0.2,5.20422,20.55427,3.94954,0.2,0.18,0.2
inventory_penalty,0.05,20.0,0.01,0.2,0.18,6.87118,20.06778,2.92057,0.2,0.2,0.2
inventory_penalty,0.05,20.0,0.02,0.2,0.2,8.68139,19.42157,2.23715,0.2,0.2,0.2
market,0.03,20,0.002,0.136,0.14,7.65075,26.52296,3.46671,0.14,0.14,0.14
market,0.05,20,0.002,0.2,0.2,3.53458,20.74001,5.86774,0.18,0.18,0.2
market,0.07,20,0.002,0.296,0.26,1.7828,15.10574,8.47303,0.26,0.24,0.26
market,0.05,10,0.002,0.25,0.26,7.22295,55.789,7.72385,0.28,0.26,0.28
market,0.05,30,0.002,0.21667,0.18,1.80512,9.19504,5.09387,0.18,0.18,0.18
market,0.08,12,0.002,0.32027,0.32,3.054,35.75091,11.70628,0.3,0.3,0.32
