mode,base_spread,mean_pnl,mean_pnl_ci_lo,mean_pnl_ci_hi,std_pnl,sharpe,sharpe_ci_lo,sharpe_ci_hi,risk_of_ruin,risk_of_ruin_ci_lo,risk_of_ruin_ci_hi,pnl_5th_percentile,pnl_worst_5pct_mean,mean_max_drawdown,fill_rate,mean_abs_inventory,time_at_limit,spread_capture,adverse_selection,inventory_pnl,liquidation
inventory-aware,0.0,-26.46745,-26.63402,-26.30088,6.00935,-4.40438,-4.50805,-4.30926,0.8812,0.87194,0.88988,-36.85187,-40.83624,26.94975,0.61794,3.00995,0.0,-0.59806,-25.7456,0.02971,-0.1535
inventory-aware,0.02,-15.48961,-15.65766,-15.32155,6.06305,-2.55476,-2.60911,-2.50354,0.2496,0.2378,0.26179,-26.23725,-29.9339,16.73234,0.56598,3.04652,0.0,10.69854,-26.10309,0.07174,-0.1568
inventory-aware,0.04,-6.14859,-6.31849,-5.9787,6.1295,-1.00311,-1.03226,-0.97638,0.0358,0.031,0.04132,-16.92928,-20.88287,9.99386,0.51388,3.07406,0.0,19.92878,-25.98294,0.06383,-0.15826
inventory-aware,0.06,1.65793,1.48657,1.8293,6.18235,0.26817,0.23952,0.29837,0.0068,0.00487,0.00949,-9.2689,-13.24628,7.04433,0.46243,3.0775,0.0,27.13096,-25.39925,0.08368,-0.15745
inventory-aware,0.08,7.94463,7.77424,8.11502,6.14727,1.29238,1.24613,1.34179,0.0016,0.00081,0.00315,-2.97096,-6.95312,5.9113,0.41266,3.07375,0.0,32.42407,-24.41349,0.09158,-0.15753
inventory-aware,0.1,12.72415,12.55342,12.89487,6.15937,2.06582,2.00582,2.12782,0.0006,0.0002,0.00176,1.71651,-2.09656,5.35361,0.36499,3.06184,0.0,35.94746,-23.09093,0.02394,-0.15632
inventory-aware,0.12,16.31709,16.14764,16.48655,6.11342,2.66906,2.59453,2.74628,0.0004,0.00011,0.00146,5.47408,1.74618,5.01351,0.3203,3.04407,0.0,37.92954,-21.50788,0.05086,-0.15543
inventory-aware,0.14,18.64004,18.47251,18.80757,6.0442,3.08396,3.00142,3.16859,0.0002,4e-05,0.00113,7.82759,4.18483,4.80567,0.27893,3.0271,0.0,38.59185,-19.75437,-0.04252,-0.15492
inventory-aware,0.16,20.10603,19.93935,20.27271,6.01336,3.34356,3.25416,3.43604,0.0,0.0,0.00077,9.65837,5.85701,4.6373,0.24139,3.00022,0.0,38.2154,-17.92101,-0.03347,-0.15488
inventory-aware,0.18,20.74442,20.57917,20.90966,5.96158,3.47968,3.39196,3.5753,0.0002,4e-05,0.00113,10.40642,6.88175,4.51409,0.20746,2.96607,0.0,36.98464,-16.06474,-0.02171,-0.15377
inventory-aware,0.2,20.74001,20.57737,20.90265,5.86774,3.53458,3.44108,3.62687,0.0,0.0,0.00077,10.38526,6.97324,4.40904,0.17717,2.92592,0.0,35.12426,-14.22848,-0.00466,-0.15112
inventory-aware,0.22,20.23645,20.07442,20.39848,5.84572,3.46175,3.37313,3.55803,0.0,0.0,0.00077,10.09851,6.50824,4.32817,0.15048,2.8875,0.0,32.84053,-12.48169,0.02845,-0.15084
inventory-aware,0.24,19.28636,19.12664,19.44607,5.76208,3.34711,3.26296,3.43587,0.0,0.0,0.00077,9.19696,5.56801,4.33263,0.12721,2.85819,0.0,30.30442,-10.84601,-0.02367,-0.14838
inventory-aware,0.26,18.14244,17.98432,18.30056,5.70449,3.18038,3.09669,3.26313,0.0002,4e-05,0.00113,8.07708,4.63555,4.30992,0.10705,2.81916,0.0,27.64199,-9.35547,0.00403,-0.14811
inventory-aware,0.28,16.85222,16.69561,17.00884,5.65031,2.98253,2.90119,3.06131,0.0,0.0,0.00077,7.22701,3.48899,4.26228,0.08975,2.77552,0.0,24.97146,-8.01698,0.04449,-0.14674
inventory-aware,0.3,15.44729,15.2928,15.60177,5.57348,2.77157,2.69294,2.84905,0.0,0.0,0.00077,5.95018,2.50889,4.23578,0.07493,2.73041,0.0,22.34891,-6.8183,0.06362,-0.14695
inventory-aware,0.32,13.99348,13.84169,14.14528,5.47621,2.55532,2.47877,2.63092,0.0004,0.00011,0.00146,4.62072,1.2864,4.25308,0.0624,2.68299,0.0,19.85913,-5.77061,0.0503,-0.14533
inventory-aware,0.34,12.59078,12.44215,12.73942,5.36234,2.348,2.27983,2.41701,0.0,0.0,0.00077,3.24268,0.01491,4.24187,0.05185,2.63597,0.0,17.54001,-4.85413,0.04854,-0.14364
inventory-aware,0.36,11.26474,11.11924,11.41025,5.24959,2.14583,2.07896,2.20954,0.0004,0.00011,0.00146,2.31164,-1.18208,4.21934,0.04295,2.56966,0.0,15.39029,-4.06367,0.08226,-0.14414
inventory-aware,0.38,10.02021,9.87568,10.16474,5.21428,1.92169,1.85859,1.98522,0.0006,0.0002,0.00176,1.27342,-2.39396,4.209,0.03552,2.51663,0.0,13.43926,-3.38956,0.11321,-0.1427
inventory-aware,0.4,8.7655,8.62468,8.90631,5.0803,1.72539,1.66765,1.78231,0.0006,0.0002,0.00176,0.29884,-3.20045,4.18864,0.02932,2.44944,0.0,11.68302,-2.82404,0.04685,-0.14033
inventory-aware,0.42,7.70357,7.56761,7.83952,4.90479,1.57062,1.51321,1.62779,0.0002,4e-05,0.00113,-0.257,-3.59719,4.12114,0.02416,2.38028,0.0,10.11158,-2.34443,0.07728,-0.14086
inventory-aware,0.44,6.69105,6.55952,6.82258,4.74532,1.41003,1.35571,1.46314,0.0006,0.0002,0.00176,-0.96403,-4.22348,4.03111,0.01989,2.28398,0.0,8.72524,-1.93941,0.04382,-0.1386
inventory-aware,0.46,5.79057,5.66316,5.91799,4.59695,1.25966,1.20717,1.30724,0.0006,0.0002,0.00176,-1.87617,-4.92835,3.94061,0.01633,2.1791,0.0,7.49215,-1.59962,0.03393,-0.13589
inventory-aware,0.48,5.00648,4.88506,5.1279,4.38045,1.14291,1.09531,1.18749,0.0006,0.0002,0.00176,-2.0549,-5.2423,3.77389,0.01337,2.0584,0.0,6.4043,-1.31667,0.05051,-0.13166
inventory-aware,0.5,4.27854,4.16344,4.39364,4.1525,1.03035,0.98512,1.07687,0.001,0.00043,0.00234,-2.42406,-5.50952,3.60966,0.011,1.92713,0.0,5.48624,-1.08578,0.00462,-0.12654
naive,0.0,-26.77844,-27.54189,-26.01499,27.5434,-0.97223,-1.0062,-0.93985,0.7528,0.74065,0.76456,-78.74577,-107.52517,40.7683,0.61833,13.22589,0.24066,0.0,-25.8872,0.09112,-0.98236
naive,0.02,-15.92887,-16.70408,-15.15366,27.96761,-0.56955,-0.59342,-0.54803,0.5662,0.55242,0.57988,-69.41305,-97.91722,35.29718,0.56605,13.5268,0.25031,11.32108,-26.24469,-0.00196,-1.0033
naive,0.04,-6.34463,-7.11991,-5.56935,27.97029,-0.22683,-0.25065,-0.20285,0.4278,0.41415,0.44156,-59.69705,-88.74461,31.68365,0.51371,13.50455,0.2486,20.54849,-26.11775,0.22564,-1.001
naive,0.06,1.64479,0.87515,2.41443,27.7667,0.05924,0.03049,0.08755,0.3414,0.32838,0.35466,-51.35597,-79.75734,29.20753,0.46191,13.41478,0.24518,27.71461,-25.52366,0.44635,-0.99251
naive,0.08,7.91482,7.15346,8.67619,27.46828,0.28814,0.25286,0.32245,0.2692,0.25709,0.28167,-42.90049,-72.63463,27.2114,0.41186,13.16457,0.23774,32.94898,-24.51136,0.45699,-0.97979
naive,0.1,12.5243,11.78103,13.26757,26.81539,0.46706,0.42436,0.50803,0.2386,0.22699,0.25061,-37.50845,-64.87419,25.60388,0.36401,12.80439,0.22837,36.40079,-23.16168,0.23741,-0.95221
naive,0.12,16.01844,15.30574,16.73115,25.71269,0.62298,0.57725,0.66776,0.1964,0.18562,0.20764,-31.0864,-56.82181,23.95061,0.31928,12.36826,0.21457,38.31379,-21.55961,0.18848,-0.92422
